#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Intonation|Intonation_values
#T_SP=webanno.custom.Jefferson|Jefferson_values
#T_SP=webanno.custom.Speaker|Speaker_values
#T_SP=webanno.custom.TokenID|TokenID_values
#T_CH=webanno.custom.OverlapsLink|referenceRelation|referenceType


#Text=buona cena
1-1	0-5	buona	buona	0-0	PKP115	_	_	_
1-2	6-10	cena	cena	0-1	_	_	_	_

#Text=grazie
2-1	11-17	grazie	grazie	1-0	PKP116	_	_	_

#Text=e poi
3-1	18-19	e	e	2-0	PKP116	_	_	_
3-2	20-23	poi	po:i?	2-1	_	Rising	_	_

#Text=mi fai sapere
4-1	24-26	mi	mi:	3-0	PKP116	_	_	_
4-2	27-30	fai	fai	3-1	_	_	_	_
4-3	31-37	sapere	sapere	3-2	_	_	_	_

#Text=com' è andata la serata ieri sera
5-1	38-42	com'	com'	4-0	PKP116	_	_	_
5-2	43-44	è	è	4-1	_	_	_	_
5-3	45-51	andata	andata	4-2	_	_	_	_
5-4	52-54	la	la	4-3	_	_	_	_
5-5	55-61	serata	serata	4-4	_	_	_	_
5-6	62-66	ieri	ieri	4-5	_	_	_	_
5-7	67-71	sera	sera	4-6	_	_	_	_

#Text=del compleanno della tua amica
6-1	72-75	del	del	5-0	PKP116	_	_	_
6-2	76-86	compleanno	compleanno	5-1	_	_	_	_
6-3	87-92	della	della	5-2	_	_	_	_
6-4	93-96	tua	tua	5-3	_	_	_	_
6-5	97-102	amica	amica?	5-4	_	Rising	_	_

#Text=va bene
7-1	103-105	va	va	6-0	PKP115	_	_	_
7-2	106-110	bene	ben(e)	6-1	_	_	_	_

#Text=allora
8-1	111-117	allora	allora,	7-0	PKP115	weakly_rising	_	_

#Text=siamo arrivate lì
9-1	118-123	siamo	siamo	8-0	PKP115	_	_	_
9-2	124-132	arrivate	arrivate	8-1	_	_	_	_
9-3	133-135	lì	lì:	8-2	_	_	_	_

#Text=eh
10-1	136-138	eh	e::h	9-0	PKP115	_	_	_

#Text=in teoria dovevo arrivare in anticipo come sapevi
11-1	139-141	in	in	10-0	PKP115	_	_	_
11-2	142-148	teoria	teoria	10-1	_	_	_	_
11-3	149-155	dovevo	dovevo	10-2	_	_	_	_
11-4	156-164	arrivare	arrivare	10-3	_	_	_	_
11-5	165-167	in	in	10-4	_	_	_	_
11-6	168-176	anticipo	anticipo	10-5	_	_	_	_
11-7	177-181	come	come	10-6	_	_	_	_
11-8	182-188	sapevi	sape:vi	10-7	_	_	_	_

#Text=però alla fine c' erano delle mie amiche che erano arrivate in anticipo anche loro
12-1	189-193	però	però	11-0	PKP115	_	_	_
12-2	194-198	alla	alla	11-1	_	_	_	_
12-3	199-203	fine	fine	11-2	_	_	_	_
12-4	204-206	c'	c'	11-3	_	_	_	_
12-5	207-212	erano	erano	11-4	_	_	_	_
12-6	213-218	delle	delle	11-5	_	_	_	_
12-7	219-222	mie	mie	11-6	_	_	_	_
12-8	223-229	amiche	amiche	11-7	_	_	_	_
12-9	230-233	che	che	11-8	_	_	_	_
12-10	234-239	erano	erano	11-9	_	_	_	_
12-11	240-248	arrivate	arrivate	11-10	_	_	_	_
12-12	249-251	in	in	11-11	_	_	_	_
12-13	252-260	anticipo	anticipo	11-12	_	_	_	_
12-14	261-266	anche	anche	11-13	_	_	_	_
12-15	267-271	loro	loro	11-14	_	_	_	_

#Text=quindi siamo state lì fuori aspettare alle otto
13-1	272-278	quindi	quindi	12-0	PKP115	_	_	_
13-2	279-284	siamo	siamo	12-1	_	_	_	_
13-3	285-290	state	state	12-2	_	_	_	_
13-4	291-293	lì	lì	12-3	_	_	_	_
13-5	294-299	fuori	fuori	12-4	_	_	_	_
13-6	300-309	aspettare	aspettare	12-5	_	_	_	_
13-7	310-314	alle	alle	12-6	_	_	_	_
13-8	315-319	otto	otto	12-7	_	_	_	_

#Text=poi siamo entrate
14-1	320-323	poi	poi	13-0	PKP115	_	_	_
14-2	324-329	siamo	siamo	13-1	_	_	_	_
14-3	330-337	entrate	entrate.	13-2	_	Falling	_	_

#Text=mh
15-1	338-340	mh	mh	14-0	PKP116	_	_	_

#Text=siamo arrivate
16-1	341-346	siamo	siamo	15-0	PKP115	_	_	_
16-2	347-355	arrivate	arrivate:,	15-1	_	weakly_rising	_	_

#Text=eh
17-1	356-358	eh	e:::::h	16-0	PKP115	_	_	_

#Text=((ride)) subito c' era tutta la famiglia di sara
18-1	359-367	((ride))	((ride))	17-0	PKP115	_	_	_
18-2	368-374	subito	subito	17-1	_	_	_	_
18-3	375-377	c'	c'	17-2	_	_	_	_
18-4	378-381	era	era	17-3	_	_	_	_
18-5	382-387	tutta	tutta	17-4	_	_	_	_
18-6	388-390	la	la	17-5	_	_	_	_
18-7	391-399	famiglia	famiglia	17-6	_	_	_	_
18-8	400-402	di	di	17-7	_	_	_	_
18-9	403-407	sara	sara	17-8	_	_	_	_

#Text=che ormai loro mi trattano
19-1	408-411	che	c(he)	18-0	PKP115	_	_	_
19-2	412-417	ormai	ormai	18-1	_	_	_	_
19-3	418-422	loro	loro	18-2	_	_	_	_
19-4	423-425	mi	mi	18-3	_	_	_	_
19-5	426-434	trattano	trattano	18-4	_	_	_	_

#Text=come se fossi una di famiglia
20-1	435-439	come	come	19-0	PKP115	_	_	_
20-2	440-442	se	se	19-1	_	_	_	_
20-3	443-448	fossi	fossi	19-2	_	_	_	_
20-4	449-452	una	una	19-3	_	_	_	_
20-5	453-455	di	di	19-4	_	_	_	_
20-6	456-464	famiglia	famiglia	19-5	_	_	_	_

#Text=eh vabbè ti conoscono da tanto
21-1	465-467	eh	eh	20-0	PKP116	_	_	_
21-2	468-473	vabbè	vabbè	20-1	_	_	_	_
21-3	474-476	ti	ti	20-2	_	_	_	_
21-4	477-486	conoscono	conoscon\[o	20-3	_	_	_	_
21-4.1	485-494	o	_	_	_	_	*->1-1	*[1]
21-5	487-489	da	da	20-4	_	_	*->1-2	*[1]
21-6	490-495	tanto	ta\]nto	20-5	_	_	_	_
21-6.1	490-492	ta	_	_	_	_	*->1-3	*[1]

#Text=esatto
22-1	496-502	esatto	\[esatto\]	21-0	PKP115	_	*->1-4	*[1]

#Text=allora
23-1	503-509	allora	allora	22-0	PKP115	_	_	_

#Text=visto che mi vedono sempre comunque trasandata vestita
24-1	510-515	visto	visto	23-0	PKP115	_	_	_
24-2	516-519	che	che	23-1	_	_	_	_
24-3	520-522	mi	mi	23-2	_	_	_	_
24-4	523-529	vedono	vedon(o)	23-3	_	_	_	_
24-5	530-536	sempre	sempre	23-4	_	_	_	_
24-6	537-545	comunque	comunque	23-5	_	_	_	_
24-7	546-556	trasandata	trasandata,	23-6	_	weakly_rising	_	_
24-8	557-564	vestita	vestita	23-7	_	_	_	_

#Text=normale
25-1	565-572	normale	normale	24-0	PKP115	_	_	_

#Text=x
26-1	573-574	x	xxx	25-0	PKP116	_	_	_

#Text=merda giorgia
27-1	575-580	merda	MERDA	26-0	PKP115	_	_	_
27-2	581-588	giorgia	giorgia	26-1	_	_	_	_

#Text=se sei bella stasera non ti vedo mai così tirata
28-1	589-591	se	SE	27-0	PKP115	_	_	_
28-2	592-595	sei	SEI	27-1	_	_	_	_
28-3	596-601	bella	BELLA	27-2	_	_	_	_
28-4	602-609	stasera	STASERA	27-3	_	_	_	_
28-5	610-613	non	NON	27-4	_	_	_	_
28-6	614-616	ti	TI	27-5	_	_	_	_
28-7	617-621	vedo	VEDO	27-6	_	_	_	_
28-8	622-625	mai	MAI	27-7	_	_	_	_
28-9	626-630	così	COSÌ	27-8	_	_	_	_
28-10	631-637	tirata	TIRATA	27-9	_	_	_	_

#Text=((ride))
29-1	638-646	((ride))	((ride))	28-0	PKP115	_	_	_

#Text=((ride))
30-1	647-655	((ride))	((ride))	29-0	PKP115	_	_	_

#Text=complimenti
31-1	656-667	complimenti	complimen(ti)	30-0	PKP116	_	_	_

#Text=io faccio grazie grazie
32-1	668-670	io	io	31-0	PKP115	_	_	_
32-2	671-677	faccio	faccio	31-1	_	_	_	_
32-3	678-684	grazie	grazie	31-2	_	_	_	_
32-4	685-691	grazie	grazie	31-3	_	_	_	_

#Text=poi mi hanno visto il tatuaggio
33-1	692-695	poi	poi	32-0	PKP115	_	_	_
33-2	696-698	mi	mi	32-1	_	_	_	_
33-3	699-704	hanno	hanno	32-2	_	_	_	_
33-4	705-710	visto	visto	32-3	_	_	_	_
33-5	711-713	il	il	32-4	_	_	_	_
33-6	714-723	tatuaggio	tatuaggio	32-5	_	_	_	_

#Text=mi fa
34-1	724-726	mi	mi	33-0	PKP115	_	_	_
34-2	727-729	fa	fa:	33-1	_	_	_	_

#Text=ma ti sei fatta il tatuaggio ma è bellissimo
35-1	730-732	ma	ma	34-0	PKP115	_	_	_
35-2	733-735	ti	ti	34-1	_	_	_	_
35-3	736-739	sei	sei	34-2	_	_	_	_
35-4	740-745	fatta	fatta	34-3	_	_	_	_
35-5	746-748	il	il	34-4	_	_	_	_
35-6	749-758	tatuaggio	tatuaggio	34-5	_	_	_	_
35-7	759-761	ma	ma	34-6	_	_	_	_
35-8	762-763	è	è	34-7	_	_	_	_
35-9	764-774	bellissimo	bellissimo::	34-8	_	_	_	_

#Text=ah te l' hanno visto
36-1	775-777	ah	ah	35-0	PKP116	_	_	_
36-2	778-780	te	te	35-1	_	_	_	_
36-3	781-783	l'	l'	35-2	_	_	_	_
36-4	784-789	hanno	hanno	35-3	_	_	_	_
36-5	790-795	visto	visto?	35-4	_	Rising	_	_

#Text=sì
37-1	796-798	sì	sì	36-0	PKP115	_	_	_

#Text=x
38-1	799-800	x	xx	37-0	PKP116	_	_	_

#Text=mi fa mh
39-1	801-803	mi	mi	38-0	PKP115	_	_	_
39-2	804-806	fa	fa:	38-1	_	_	_	_
39-3	807-809	mh	m:h	38-2	_	_	_	_

#Text=mi fanno hai fatto benissimo poi è proprio bello
40-1	810-812	mi	mi	39-0	PKP115	_	_	_
40-2	813-818	fanno	fanno	39-1	_	_	_	_
40-3	819-822	hai	hai	39-2	_	_	_	_
