#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Intonation|Intonation_values
#T_SP=webanno.custom.Jefferson|Jefferson_values
#T_SP=webanno.custom.Speaker|Speaker_values
#T_SP=webanno.custom.TokenID|TokenID_values
#T_CH=webanno.custom.OverlapsLink|referenceRelation|referenceType


#Text=okay dai
1-1	0-4	okay	okay	0-0	PKP125	_	_	_
1-2	5-8	dai	dai	0-1	_	_	_	_

#Text=che ti serve il coltello
2-1	9-12	che	che	1-0	PKP125	_	_	_
2-2	13-15	ti	ti	1-1	_	_	_	_
2-3	16-21	serve	serve	1-2	_	_	_	_
2-4	22-24	il	il	1-3	_	_	_	_
2-5	25-33	coltello	coltello?	1-4	_	Rising	_	_

#Text=sì
3-1	34-36	sì	sì	2-0	PKP131	_	_	_

#Text=to
4-1	37-39	to	(to)	3-0	PKP131	_	_	_

#Text=ecco qua
5-1	40-44	ecco	°ecco	4-0	PKP125	_	_	_
5-2	45-48	qua	qua°	4-1	_	_	_	_

#Text=ma cosa vuoi
6-1	49-51	ma	ma	5-0	PKP125	_	_	_
6-2	52-56	cosa	cosa	5-1	_	_	_	_
6-3	57-61	vuoi	vuoi?	5-2	_	Rising	_	_

#Text=sai questo com' è buono squagliato sulla
7-1	62-65	sai	sai	6-0	PKP125	_	_	_
7-2	66-72	questo	questo	6-1	_	_	_	_
7-3	73-77	com'	com'	6-2	_	_	_	_
7-4	78-79	è	è	6-3	_	_	_	_
7-5	80-85	buono	buono	6-4	_	_	_	_
7-6	86-96	squagliato	squagliato	6-5	_	_	_	_
7-7	97-102	sulla	sulla::	6-6	_	_	_	_

#Text=sulla cosa
8-1	103-108	sulla	sulla	7-0	PKP125	_	_	_
8-2	109-113	cosa	cosa	7-1	_	_	_	_

#Text=te lo sei mai mangiato
9-1	114-116	te	te	8-0	PKP125	_	_	_
9-2	117-119	lo	lo	8-1	_	_	_	_
9-3	120-123	sei	sei	8-2	_	_	_	_
9-4	124-127	mai	mai	8-3	_	_	_	_
9-5	128-136	mangiato	mangiato?	8-4	_	Rising	_	_

#Text=sulla
10-1	137-142	sulla	sulla:?	9-0	PKP131	Rising	_	_

#Text=sulla [PAUSE] sulla padella
11-1	143-148	sulla	sulla::	10-0	PKP125	_	_	_
11-2	149-156	[PAUSE]	(.)	10-1	_	_	_	_
11-3	157-162	sulla	sulla	10-2	_	_	_	_
