#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.Intonation|Intonation_values
#T_SP=webanno.custom.Jefferson|Jefferson_values
#T_SP=webanno.custom.Speaker|Speaker_values
#T_SP=webanno.custom.TokenID|TokenID_values
#T_CH=webanno.custom.OverlapsLink|referenceRelation|referenceType


#Text=ciao come ti chiami
1-1	0-4	ciao	WeaklyRising	ciao,	TOR006	0-0	_	_
1-2	5-9	come	_	come	_	0-1	_	_
1-3	10-12	ti	_	ti	_	0-2	_	_
1-4	13-19	chiami	Rising	chiami?	_	0-3	_	_

#Text=io sono davide
2-1	20-22	io	_	io	TOI031	1-0	_	_
2-2	23-27	sono	_	sono	_	1-1	_	_
2-3	28-34	davide	Falling	davide.	_	1-2	_	_

#Text=okay e che lavoro fai
3-1	35-39	okay	WeaklyRising	okay,	TOR006	2-0	_	_
3-2	40-41	e	_	e	_	2-1	_	_
3-3	42-45	che	_	che	_	2-2	_	_
3-4	46-52	lavoro	_	lavoro	_	2-3	_	_
3-5	53-56	fai	Rising	fai?	_	2-4	_	_

#Text=faccio il giardiniere
4-1	57-63	faccio	_	faccio	TOI031	3-0	_	_
4-2	64-66	il	_	il	_	3-1	_	_
4-3	67-78	giardiniere	WeaklyRising	giardiniere,	_	3-2	_	_

#Text=da quanto tempo
5-1	79-81	da	_	da::	TOR006	4-0	_	_
5-2	82-88	quanto	_	quanto	_	4-1	_	_
5-3	89-94	tempo	Rising	tempo?	_	4-2	_	_

#Text=da circa mh [PAUSE] otto anni
6-1	95-97	da	_	da	TOI031	5-0	_	_
6-2	98-103	circa	_	circa::	_	5-1	_	_
6-3	104-106	mh	WeaklyRising	m::h,	_	5-2	_	_
6-4	107-114	[PAUSE]	_	(.)	_	5-3	_	_
6-5	115-119	otto	_	otto	_	5-4	_	_
6-6	120-124	anni	WeaklyRising	anni,	_	5-5	_	_

#Text=mh mh
7-1	125-127	mh	_	mh	TOR006	6-0	_	_
7-2	128-130	mh	_	mh	_	6-1	_	_

#Text=e come mai hai deciso di fare il giardiniere
8-1	131-132	e	_	e:::	TOR006	7-0	_	_
8-2	133-137	come	_	come	_	7-1	_	_
8-3	138-141	mai	_	mai	_	7-2	_	_
8-4	142-145	hai	_	hai	_	7-3	_	_
8-5	146-152	deciso	_	deciso	_	7-4	_	_
8-6	153-155	di	_	di	_	7-5	_	_
8-7	156-160	fare	_	fare	_	7-6	_	_
8-8	161-163	il	_	il	_	7-7	_	_
8-9	164-175	giardiniere	Rising	giardiniere?	_	7-8	_	_

#Text=ma ehm in realtà non ho proprio deciso di fare il giardiniere
9-1	176-178	ma	_	ma	TOI031	8-0	_	_
9-2	179-182	ehm	_	ehm	_	8-1	_	_
9-3	183-185	in	_	in	_	8-2	_	_
9-4	186-192	realtà	_	realtà	_	8-3	_	_
9-5	193-196	non	_	non	_	8-4	_	_
9-6	197-199	ho	_	ho	_	8-5	_	_
9-7	200-207	proprio	_	proprio	_	8-6	_	_
9-8	208-214	deciso	_	deciso	_	8-7	_	_
9-9	215-217	di	_	di	_	8-8	_	_
9-10	218-222	fare	_	fare	_	8-9	_	_
9-11	223-225	il	_	il	_	8-10	_	_
9-12	226-237	giardiniere	WeaklyRising	giardiniere,	_	8-11	_	_

#Text=ma ehm
10-1	238-240	ma	_	ma	TOI031	9-0	_	_
10-2	241-244	ehm	_	ehm	_	9-1	_	_

#Text=un mio carissimo amico
11-1	245-247	un	_	un	TOI031	10-0	_	_
11-2	248-251	mio	_	mio	_	10-1	_	_
11-3	252-261	carissimo	_	carissimo	_	10-2	_	_
11-4	262-267	amico	WeaklyRising	amico,	_	10-3	_	_

#Text=faceva il giardiniere
12-1	268-274	faceva	_	faceva	TOI031	11-0	_	_
12-2	275-277	il	_	il	_	11-1	_	_
12-3	278-289	giardiniere	WeaklyRising	giardiniere,	_	11-2	_	_

#Text=io ho iniziato a lavorare nei primi miei due anni di lavoro in una fabbrica
13-1	290-292	io	_	io	TOI031	12-0	_	_
13-2	293-295	ho	_	ho	_	12-1	_	_
13-3	296-304	iniziato	_	iniziato	_	12-2	_	_
13-4	305-306	a	_	a	_	12-3	_	_
13-5	307-315	lavorare	WeaklyRising	lavorare,	_	12-4	_	_
13-6	316-319	nei	_	nei	_	12-5	_	_
13-7	320-325	primi	_	primi	_	12-6	_	_
13-8	326-330	miei	_	miei	_	12-7	_	_
13-9	331-334	due	_	due	_	12-8	_	_
13-10	335-339	anni	_	anni	_	12-9	_	_
13-11	340-342	di	_	di	_	12-10	_	_
13-12	343-349	lavoro	_	lavoro	_	12-11	_	_
13-13	350-352	in	_	in	_	12-12	_	_
13-14	353-356	una	_	una	_	12-13	_	_
13-15	357-365	fabbrica	WeaklyRising	fabbrica,	_	12-14	_	_

#Text=e nel tempo libero andavo a dargli una mano
14-1	366-367	e	_	e	TOI031	13-0	_	_
14-2	368-371	nel	_	nel	_	13-1	_	_
14-3	372-377	tempo	_	tempo	_	13-2	_	_
14-4	378-384	libero	_	libero	_	13-3	_	_
14-5	385-391	andavo	_	andavo	_	13-4	_	_
14-6	392-393	a	_	a	_	13-5	_	_
14-7	394-400	dargli	_	dargli	_	13-6	_	_
14-8	401-404	una	_	una	_	13-7	_	_
14-9	405-409	mano	Falling	mano.	_	13-8	_	_

#Text=mh
15-1	410-412	mh	_	mh	TOR006	14-0	_	_

#Text=lo trovavo molto più
16-1	413-415	lo	_	lo	TOI031	15-0	_	_
16-2	416-423	trovavo	_	trovavo	_	15-1	_	_
16-3	424-429	molto	_	molto	_	15-2	_	_
16-4	430-433	più	WeaklyRising	più,	_	15-3	_	_

#Text=più bello ((ride)) piuttosto che ((ride)) [PAUSE] lavorare in una fabbrica
17-1	434-437	più	_	più	TOI031	16-0	_	_
17-2	438-443	bello	_	bello	_	16-1	_	_
17-3	444-452	((ride))	_	((ride))	_	16-2	_	_
17-4	453-462	piuttosto	_	piuttosto	_	16-3	_	_
17-5	463-466	che	_	che	_	16-4	_	_
17-6	467-475	((ride))	_	((ride))	_	16-5	_	_
17-7	476-483	[PAUSE]	_	(.)	_	16-6	_	_
17-8	484-492	lavorare	_	lavorare	_	16-7	_	_
17-9	493-495	in	_	in	_	16-8	_	_
17-10	496-499	una	_	una	_	16-9	_	_
17-11	500-508	fabbrica	WeaklyRising	fabbrica,	_	16-10	_	_

#Text=e poi un bel giorno questo mio amico
